current_phase: 253824, A: 1000, B: 1520, C: 481, RPM: 99
current_phase: 49839360, A: 1040, B: 1496, C: 460, RPM: 99
current_phase: 99424896, A: 1084, B: 1470, C: 442, RPM: 99
current_phase: 149010432, A: 1127, B: 1444, C: 428, RPM: 99
current_phase: 198595968, A: 1170, B: 1413, C: 416, RPM: 99
current_phase: 248181504, A: 1212, B: 1380, C: 408, RPM: 99
current_phase: 297767040, A: 1249, B: 1345, C: 402, RPM: 99
current_phase: 347352576, A: 1289, B: 1308, C: 400, RPM: 99
current_phase: 396938112, A: 1327, B: 1273, C: 400, RPM: 99
current_phase: 446523648, A: 1363, B: 1233, C: 404, RPM: 99
current_phase: 496109184, A: 1397, B: 1191, C: 411, RPM: 99
current_phase: 545694720, A: 1429, B: 1149, C: 421, RPM: 99
current_phase: 595280256, A: 1456, B: 1106, C: 435, RPM: 99
current_phase: 644865792, A: 1484, B: 1062, C: 451, RPM: 99
current_phase: 694451328, A: 1508, B: 1022, C: 470, RPM: 99
current_phase: 744036864, A: 1530, B: 977, C: 493, RPM: 99
current_phase: 793622400, A: 1550, B: 933, C: 515, RPM: 99
current_phase: 843207936, A: 1566, B: 890, C: 543, RPM: 99
current_phase: 892793472, A: 1578, B: 847, C: 573, RPM: 99
current_phase: 942379008, A: 1588, B: 804, C: 605, RPM: 99
current_phase: 991964544, A: 1595, B: 766, C: 639, RPM: 99
current_phase: 1041550080, A: 1599, B: 726, C: 672, RPM: 99
current_phase: 1091135616, A: 1599, B: 688, C: 710, RPM: 99
current_phase: 1140721152, A: 1597, B: 651, C: 750, RPM: 99
current_phase: 1190306688, A: 1591, B: 616, C: 790, RPM: 99
current_phase: 1239892224, A: 1582, B: 586, C: 832, RPM: 99
current_phase: 1289477760, A: 1570, B: 555, C: 875, RPM: 99
current_phase: 1339063296, A: 1555, B: 526, C: 915, RPM: 99
current_phase: 1388648832, A: 1537, B: 501, C: 959, RPM: 99
current_phase: 1438234368, A: 1518, B: 477, C: 1003, RPM: 99
current_phase: 1487819904, A: 1494, B: 457, C: 1047, RPM: 99
current_phase: 1537405440, A: 1468, B: 441, C: 1091, RPM: 99
current_phase: 1586990976, A: 1439, B: 426, C: 1135, RPM: 99
current_phase: 1636576512, A: 1408, B: 415, C: 1174, RPM: 99
current_phase: 1686162048, A: 1374, B: 407, C: 1215, RPM: 99
current_phase: 1735747584, A: 1342, B: 401, C: 1256, RPM: 99
current_phase: 1785333120, A: 1305, B: 400, C: 1295, RPM: 99
current_phase: 1834918656, A: 1266, B: 401, C: 1333, RPM: 99
current_phase: 1884504192, A: 1226, B: 405, C: 1366, RPM: 99
current_phase: 1934089728, A: 1184, B: 413, C: 1400, RPM: 99
current_phase: 1983675264, A: 1145, B: 423, C: 1432, RPM: 99
current_phase: 2033260800, A: 1102, B: 437, C: 1461, RPM: 99
current_phase: 2082846336, A: 1058, B: 452, C: 1488, RPM: 99
current_phase: 2132431872, A: 1014, B: 472, C: 1512, RPM: 99
current_phase: 2182017408, A: 970, B: 495, C: 1532, RPM: 99
current_phase: 2231602944, A: 926, B: 520, C: 1551, RPM: 99
current_phase: 2281188480, A: 886, B: 548, C: 1567, RPM: 99
current_phase: 2330774016, A: 843, B: 578, C: 1580, RPM: 99
current_phase: 2380359552, A: 801, B: 608, C: 1589, RPM: 99
current_phase: 2429945088, A: 760, B: 642, C: 1596, RPM: 99
current_phase: 2479530624, A: 720, B: 679, C: 1599, RPM: 99
current_phase: 2529116160, A: 685, B: 717, C: 1599, RPM: 99
current_phase: 2578701696, A: 648, B: 756, C: 1596, RPM: 99
current_phase: 2628287232, A: 613, B: 794, C: 1590, RPM: 99
current_phase: 2677872768, A: 580, B: 836, C: 1581, RPM: 99
current_phase: 2727458304, A: 550, B: 879, C: 1569, RPM: 99
current_phase: 2777043840, A: 522, B: 922, C: 1554, RPM: 99
current_phase: 2826629376, A: 499, B: 966, C: 1535, RPM: 99
current_phase: 2876214912, A: 476, B: 1011, C: 1514, RPM: 99
current_phase: 2925800448, A: 456, B: 1051, C: 1490, RPM: 99
current_phase: 2975385984, A: 438, B: 1095, C: 1463, RPM: 99
current_phase: 3024971520, A: 424, B: 1138, C: 1437, RPM: 99
current_phase: 3074557056, A: 413, B: 1181, C: 1405, RPM: 99
current_phase: 3124142592, A: 406, B: 1222, C: 1372, RPM: 99
current_phase: 3173728128, A: 401, B: 1263, C: 1336, RPM: 99
current_phase: 3223313664, A: 400, B: 1298, C: 1298, RPM: 99
current_phase: 3272899200, A: 401, B: 1336, C: 1263, RPM: 99
current_phase: 3322484736, A: 406, B: 1372, C: 1222, RPM: 99
current_phase: 3372070272, A: 413, B: 1405, C: 1181, RPM: 99
current_phase: 3421655808, A: 424, B: 1437, C: 1138, RPM: 99
current_phase: 3471241344, A: 438, B: 1463, C: 1095, RPM: 99
current_phase: 3520826880, A: 456, B: 1490, C: 1051, RPM: 99
current_phase: 3570412416, A: 476, B: 1514, C: 1011, RPM: 99
current_phase: 3619997952, A: 499, B: 1535, C: 966, RPM: 99
current_phase: 3669583488, A: 522, B: 1554, C: 922, RPM: 99
current_phase: 3719169024, A: 550, B: 1569, C: 879, RPM: 99
current_phase: 3768754560, A: 580, B: 1581, C: 836, RPM: 99
current_phase: 3818340096, A: 613, B: 1590, C: 794, RPM: 99
current_phase: 3867925632, A: 648, B: 1596, C: 756, RPM: 99
current_phase: 3917511168, A: 685, B: 1599, C: 717, RPM: 99
current_phase: 3967096704, A: 720, B: 1599, C: 679, RPM: 99
current_phase: 4016682240, A: 760, B: 1596, C: 642, RPM: 99
current_phase: 4066267776, A: 801, B: 1589, C: 608, RPM: 99
current_phase: 4115853312, A: 843, B: 1580, C: 578, RPM: 99
current_phase: 4165438848, A: 886, B: 1567, C: 548, RPM: 99
current_phase: 4215024384, A: 926, B: 1551, C: 520, RPM: 99
